'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "ks_brands_hatch, gp_prc"
Pole, "McLarenTim(01:15.7970)"
Lasted laps, "8"
Host, "Unknown"



Qualify result
'======================
Pos, Points,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1 ", urd_t5_maures_2018, no,"0", "01:30.3840", "35.9020", "21.8430", "32.6390",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:16.8950", "24.1460", "20.8440", "31.9050",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "03:03.2380", "128.6210", "21.6320", "32.9850",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "01:16.6540", "23.9450", "20.8260", "31.8830",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:36.7020", "42.3950", "21.9070", "32.4000",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:17.0660", "24.1330", "20.7850", "32.1480",  "F:M - R:M",     
Average,,,"01:40.1566", "46.5237", "21.3062", "32.3267"
Best possible,,, "01:16.6130", "23.9450", "20.7850", "31.8830"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", urd_t5_aura_2018, no,"0", "01:58.2890", "63.8260", "22.1760", "32.2870",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:17.8350", "24.3470", "21.2680", "32.2200",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "02:11.4130", "76.8280", "21.9370", "32.6480",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:17.5490", "24.1340", "21.2450", "32.1700",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:17.1690", "23.8710", "21.0330", "32.2650",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:17.2150", "24.0340", "21.0060", "32.1750",  "F:M - R:M",     
Average,,,"01:33.2451", "39.5067", "21.4442", "32.2942"
Best possible,,, "01:17.0470", "23.8710", "21.0060", "32.1700"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", urd_t5_aura_2018, no,"0", "01:43.3820", "46.2950", "22.8790", "34.2080",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:26.4520", "24.2840", "21.0470", "41.1210",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:18.1250", "24.5940", "21.0230", "32.5080",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:58.6400", "60.5820", "23.0660", "34.9920",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:17.2410", "24.1180", "20.7760", "32.3470",  "F:M - R:M",     
Average,,,"01:32.7680", "35.9746", "21.7582", "35.0352"
Best possible,,, "01:17.2410", "24.1180", "20.7760", "32.3470"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gman197002"
"1 ", urd_t5_aura_2018, no,"0", "02:05.3630", "69.7610", "22.4640", "33.1380",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:18.9190", "24.9590", "21.4520", "32.5080",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:18.5980", "24.2790", "21.0420", "33.2770",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:18.6970", "24.4810", "21.0740", "33.1420",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:17.8690", "24.3550", "21.0100", "32.5040",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:17.5400", "24.2560", "20.8660", "32.4180",  "F:M - R:M",     
"7 ", urd_t5_aura_2018, no,"0", "01:17.6230", "24.1770", "20.9650", "32.4810",  "F:M - R:M",     
"8 ", urd_t5_aura_2018, no,"0", "01:17.5770", "23.9990", "21.0560", "32.5220",  "F:M - R:M",     
Average,,,"01:24.0233", "30.0334", "21.2411", "32.7488"
Best possible,,, "01:17.2830", "23.9990", "20.8660", "32.4180"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Waffles"
"1 ", urd_t5_aura_2018, no,"0", "01:45.6970", "50.3110", "21.8880", "33.4980",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:43.0420", "47.5710", "22.0500", "33.4210",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:19.1380", "24.8320", "21.1860", "33.1200",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:18.7060", "24.5220", "21.2480", "32.9360",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:18.7690", "24.8410", "21.0830", "32.8450",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:17.9010", "24.1880", "21.0150", "32.6980",  "F:M - R:M",     
Average,,,"01:27.2088", "32.7108", "21.4117", "33.0863"
Best possible,,, "01:17.9010", "24.1880", "21.0150", "32.6980"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NotJames"
"1 ", urd_t5_bayro_2018, no,"0", "01:38.8310", "36.2810", "26.3030", "36.2470",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:19.1620", "24.7350", "21.4200", "33.0070",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:18.7370", "24.5480", "21.1960", "32.9930",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:18.5590", "24.2760", "21.1850", "33.0980",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:18.2830", "24.3140", "21.1680", "32.8010",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "02:48.3960", "113.3110", "22.1040", "32.9810",  "F:M - R:M",     
"7 ", urd_t5_bayro_2018, no,"0", "01:18.6190", "24.3890", "21.1240", "33.1060",  "F:M - R:M",     
Average,,,"01:34.3696", "38.8363", "22.0714", "33.4619"
Best possible,,, "01:18.2010", "24.2760", "21.1240", "32.8010"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NihonTiger"
"1 ", urd_t5_bayro_2018, no,"0", "02:00.3360", "61.0340", "23.7870", "35.5150",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:21.4900", "25.2620", "22.1410", "34.0870",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:20.1370", "24.9720", "21.6940", "33.4710",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:20.3350", "25.2680", "21.6190", "33.4480",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:19.3850", "24.6880", "21.4780", "33.2190",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "01:19.3100", "24.6810", "21.5010", "33.1280",  "F:M - R:M",     
Average,,,"01:26.8322", "30.9842", "22.0367", "33.8113"
Best possible,,, "01:19.2870", "24.6810", "21.4780", "33.1280"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Broadcast"
No laps for this driver


Qualify best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "01:15.7970", ""
"McLarenTim", "urd_t5_maures_2018", "01:15.9900", "0.193"
"McLarenTim", "urd_t5_maures_2018", "01:16.2260", "0.429"
"McLarenTim", "urd_t5_maures_2018", "01:16.2440", "0.447"
"PhotonBurst", "urd_t5_maures_2018", "01:16.6540", "0.857"
"PhotonBurst", "urd_t5_maures_2018", "01:16.8950", "1.098"
"PhotonBurst", "urd_t5_maures_2018", "01:17.0660", "1.269"
"gunciz", "urd_t5_aura_2018", "01:17.1690", "1.372"
"gunciz", "urd_t5_aura_2018", "01:17.2150", "1.418"
"MrGrinder", "urd_t5_aura_2018", "01:17.2410", "1.444"
"gman197002", "urd_t5_aura_2018", "01:17.5400", "1.743"
"gunciz", "urd_t5_aura_2018", "01:17.5490", "1.752"
"gman197002", "urd_t5_aura_2018", "01:17.5770", "1.78"
"gman197002", "urd_t5_aura_2018", "01:17.6230", "1.826"
"gunciz", "urd_t5_aura_2018", "01:17.8350", "2.038"
"gman197002", "urd_t5_aura_2018", "01:17.8690", "2.072"
"Waffles", "urd_t5_aura_2018", "01:17.9010", "2.104"
"MrGrinder", "urd_t5_aura_2018", "01:18.1250", "2.328"
"NotJames", "urd_t5_bayro_2018", "01:18.2830", "2.486"
"NotJames", "urd_t5_bayro_2018", "01:18.5590", "2.762"


'------------------------
Per driver
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "01:15.7970", ""
"PhotonBurst", "urd_t5_maures_2018", "01:16.6540", "0.857"
"gunciz", "urd_t5_aura_2018", "01:17.1690", "1.372"
"MrGrinder", "urd_t5_aura_2018", "01:17.2410", "1.444"
"gman197002", "urd_t5_aura_2018", "01:17.5400", "1.743"
"Waffles", "urd_t5_aura_2018", "01:17.9010", "2.104"
"NotJames", "urd_t5_bayro_2018", "01:18.2830", "2.486"
"NihonTiger", "urd_t5_bayro_2018", "01:19.3100", "3.513"


Qualify consistency
'======================
Driver, Vehicle, Consistency,
"McLarenTim", "urd_t5_maures_2018", "99.53%  0.3563",
"gunciz", "urd_t5_aura_2018", "99.53%  0.364",
"NotJames", "urd_t5_bayro_2018", "99.38%  0.4862",
"gman197002", "urd_t5_aura_2018", "99.13%  0.6738",
"Waffles", "urd_t5_aura_2018", "98.75%  0.97",
"NihonTiger", "urd_t5_bayro_2018", "98.71%  1.0267",
"MrGrinder", "urd_t5_aura_2018", "93.47%  5.0475",
"PhotonBurst", "urd_t5_maures_2018", "91.00%  6.9003",
"Broadcast", "ford_transit", "-",




Qualify sectors
'======================
'------------------------
Sector 1
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "23.6530", "-"
"gunciz", "urd_t5_aura_2018", "23.8710", "0.2180"
"PhotonBurst", "urd_t5_maures_2018", "23.9450", "0.2920"
"gman197002", "urd_t5_aura_2018", "23.9990", "0.3460"
"MrGrinder", "urd_t5_aura_2018", "24.1180", "0.4650"
"Waffles", "urd_t5_aura_2018", "24.1880", "0.5350"
"NotJames", "urd_t5_bayro_2018", "24.2760", "0.6230"
"NihonTiger", "urd_t5_bayro_2018", "24.6810", "1.0280"
'------------------------
Sector 2
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "20.4750", "-"
"MrGrinder", "urd_t5_aura_2018", "20.7760", "0.3010"
"PhotonBurst", "urd_t5_maures_2018", "20.7850", "0.3100"
"gman197002", "urd_t5_aura_2018", "20.8660", "0.3910"
"gunciz", "urd_t5_aura_2018", "21.0060", "0.5310"
"Waffles", "urd_t5_aura_2018", "21.0150", "0.5400"
"NotJames", "urd_t5_bayro_2018", "21.1240", "0.6490"
"NihonTiger", "urd_t5_bayro_2018", "21.4780", "1.0030"
'------------------------
Sector 3
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "31.6430", "-"
"PhotonBurst", "urd_t5_maures_2018", "31.8830", "0.2400"
"gunciz", "urd_t5_aura_2018", "32.1700", "0.5270"
"MrGrinder", "urd_t5_aura_2018", "32.3470", "0.7040"
"gman197002", "urd_t5_aura_2018", "32.4180", "0.7750"
"Waffles", "urd_t5_aura_2018", "32.6980", "1.0550"
"NotJames", "urd_t5_bayro_2018", "32.8010", "1.1580"
"NihonTiger", "urd_t5_bayro_2018", "33.1280", "1.4850"









'+++++++++++++++++++++
Race 1
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "ks_brands_hatch, gp_prc"
Winner, "McLarenTim"
Led most laps, "McLarenTim"
Best lap, "McLarenTim (01:16.3070)"
Lasted laps, "17"
Host, "Unknown"


Race 1 result
'======================
Pos,  Points,  Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1", "40",  "", "", "urd_t5_maures_2018", "McLarenTim", "17", "    21:52.4420", "01:16.3070", "99.48%", "16", "0", 
"2", "36",  "", "", "urd_t5_maures_2018", "PhotonBurst", "17", "  '+00:12.4090", "01:16.9220", "99.32%", "0", "0", 
"3", "32",  "", "", "urd_t5_aura_2018", "gman197002", "17", "  '+00:40.2040", "01:18.1370", "98.94%", "0", "0", 
"4", "28",  "", "", "urd_t5_aura_2018", "Waffles", "17", "  '+00:44.2490", "01:17.6600", "97.91%", "0", "0", 
"5", "25",  "", "", "urd_t5_aura_2018", "gunciz", "17", "  '+00:51.3970", "01:17.3670", "98.80%", "0", "0", 
"6", "22",  "", "", "urd_t5_bayro_2018", "NihonTiger", "17", "  '+01:00.2390", "01:18.9670", "98.56%", "0", "0", 
"7", "19",  "", "", "urd_t5_bayro_2018", "NotJames", "17", "  '+01:07.4530", "01:18.7150", "97.49%", "0", "0", 
"8", "16",  "", "", "urd_t5_aura_2018", "MrGrinder", "16", "  '+01:24.9430", "01:17.6590", "97.18%", "0", "0", 
"9", "0",  "", "", "ford_transit", "Broadcast", "0", " DNF", "-", "-", "0", "0", 


Race 1 laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", urd_t5_maures_2018, no,"0", "01:25.6170", "31.5350", "21.7440", "32.3380",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:16.9270", "23.9940", "20.9520", "31.9810",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:16.4830", "23.8110", "20.8120", "31.8600",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "01:16.7480", "23.9640", "20.8480", "31.9360",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:16.7270", "23.8120", "20.7670", "32.1480",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:16.6280", "23.7890", "20.7910", "32.0480",  "F:M - R:M",     
"7 ", urd_t5_maures_2018, no,"0", "01:16.8890", "23.8840", "20.8350", "32.1700",  "F:M - R:M",     
"8 ", urd_t5_maures_2018, no,"0", "01:16.5290", "23.8620", "20.7630", "31.9040",  "F:M - R:M",     
"9 ", urd_t5_maures_2018, no,"0", "01:16.4620", "23.9150", "20.7450", "31.8020",  "F:M - R:M",     
"10 ", urd_t5_maures_2018, no,"0", "01:16.3070", "23.7740", "20.7630", "31.7700",  "F:M - R:M",     
"11 ", urd_t5_maures_2018, no,"0", "01:16.4580", "23.9240", "20.7450", "31.7890",  "F:M - R:M",     
"12 ", urd_t5_maures_2018, no,"0", "01:16.8010", "23.8760", "20.7190", "32.2060",  "F:M - R:M",     
"13 ", urd_t5_maures_2018, no,"0", "01:16.6360", "23.8550", "20.7590", "32.0220",  "F:M - R:M",     
"14 ", urd_t5_maures_2018, no,"0", "01:16.5730", "23.8200", "20.8030", "31.9500",  "F:M - R:M",     
"15 ", urd_t5_maures_2018, no,"0", "01:17.1130", "23.7920", "20.7370", "32.5840",  "F:M - R:M",     
"16 ", urd_t5_maures_2018, no,"0", "01:16.8200", "23.8730", "20.7770", "32.1700",  "F:M - R:M",     
"17 ", urd_t5_maures_2018, no,"0", "01:16.7540", "23.9610", "20.7270", "32.0660",  "F:M - R:M",     
Average,,,"01:17.2043", "24.3201", "20.8404", "32.0438"
Best possible,,, "01:16.2630", "23.7740", "20.7190", "31.7700"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", urd_t5_maures_2018, no,"0", "01:26.2220", "32.0330", "21.6090", "32.5800",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:17.1870", "24.0730", "21.0910", "32.0230",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:18.9340", "23.9670", "20.7170", "34.2500",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "01:17.3070", "24.0260", "21.0560", "32.2250",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:17.4940", "24.1240", "21.0460", "32.3240",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:17.5860", "24.1710", "21.0230", "32.3920",  "F:M - R:M",     
"7 ", urd_t5_maures_2018, no,"0", "01:17.3450", "24.0700", "21.0110", "32.2640",  "F:M - R:M",     
"8 ", urd_t5_maures_2018, no,"0", "01:17.3260", "24.3290", "21.0520", "31.9450",  "F:M - R:M",     
"9 ", urd_t5_maures_2018, no,"0", "01:17.0950", "24.1350", "20.9330", "32.0270",  "F:M - R:M",     
"10 ", urd_t5_maures_2018, no,"0", "01:17.3970", "24.1570", "20.9750", "32.2650",  "F:M - R:M",     
"11 ", urd_t5_maures_2018, no,"0", "01:17.6830", "24.0920", "21.0060", "32.5850",  "F:M - R:M",     
"12 ", urd_t5_maures_2018, no,"0", "01:17.3110", "24.2020", "21.0150", "32.0940",  "F:M - R:M",     
"13 ", urd_t5_maures_2018, no,"0", "01:17.5230", "24.3050", "20.8720", "32.3460",  "F:M - R:M",     
"14 ", urd_t5_maures_2018, no,"0", "01:16.9220", "24.0830", "20.7550", "32.0840",  "F:M - R:M",     
"15 ", urd_t5_maures_2018, no,"0", "01:17.2320", "23.9870", "20.9170", "32.3280",  "F:M - R:M",     
"16 ", urd_t5_maures_2018, no,"0", "01:17.2110", "24.1240", "20.9930", "32.0940",  "F:M - R:M",     
"17 ", urd_t5_maures_2018, no,"0", "01:17.0620", "24.1240", "20.8390", "32.0990",  "F:M - R:M",     
Average,,,"01:17.9316", "24.5884", "20.9947", "32.3485"
Best possible,,, "01:16.6290", "23.9670", "20.7170", "31.9450"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gman197002"
"1 ", urd_t5_aura_2018, no,"0", "01:30.0790", "33.9050", "22.3290", "33.8450",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:19.8990", "24.4760", "21.8620", "33.5610",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:21.9450", "25.1540", "21.6320", "35.1590",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:18.1370", "24.1460", "20.9620", "33.0290",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:18.7700", "24.4830", "21.1130", "33.1740",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:18.8200", "24.5950", "21.5770", "32.6480",  "F:M - R:M",     
"7 ", urd_t5_aura_2018, no,"0", "01:19.1020", "24.5980", "21.4600", "33.0440",  "F:M - R:M",     
"8 ", urd_t5_aura_2018, no,"0", "01:18.5260", "24.6380", "21.5910", "32.2970",  "F:M - R:M",     
"9 ", urd_t5_aura_2018, no,"0", "01:18.1530", "24.2250", "21.3250", "32.6030",  "F:M - R:M",     
"10 ", urd_t5_aura_2018, no,"0", "01:19.1360", "24.5060", "21.6190", "33.0110",  "F:M - R:M",     
"11 ", urd_t5_aura_2018, no,"0", "01:18.3480", "24.2750", "21.3030", "32.7700",  "F:M - R:M",     
"12 ", urd_t5_aura_2018, no,"0", "01:18.6780", "24.6780", "21.1990", "32.8010",  "F:M - R:M",     
"13 ", urd_t5_aura_2018, no,"0", "01:18.5160", "24.1920", "21.3020", "33.0220",  "F:M - R:M",     
"14 ", urd_t5_aura_2018, no,"0", "01:18.6820", "24.6410", "21.0510", "32.9900",  "F:M - R:M",     
"15 ", urd_t5_aura_2018, no,"0", "01:18.5890", "24.4130", "21.1590", "33.0170",  "F:M - R:M",     
"16 ", urd_t5_aura_2018, no,"0", "01:18.4590", "24.3500", "21.1280", "32.9810",  "F:M - R:M",     
"17 ", urd_t5_aura_2018, no,"0", "01:18.7990", "24.5290", "21.3790", "32.8910",  "F:M - R:M",     
Average,,,"01:19.5669", "25.0473", "21.4112", "33.1084"
Best possible,,, "01:17.4050", "24.1460", "20.9620", "32.2970"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Waffles"
"1 ", urd_t5_aura_2018, no,"0", "01:29.7860", "33.4690", "22.1530", "34.1640",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:19.9310", "24.5720", "21.8790", "33.4800",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:18.9320", "24.9140", "21.1680", "32.8500",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:18.2480", "24.4060", "20.9480", "32.8940",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:18.3290", "24.3650", "21.2810", "32.6830",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:19.3290", "25.0090", "21.4790", "32.8410",  "F:M - R:M",     
"7 ", urd_t5_aura_2018, no,"0", "01:19.1280", "24.7320", "21.5730", "32.8230",  "F:M - R:M",     
"8 ", urd_t5_aura_2018, no,"0", "01:17.7770", "24.4520", "20.9260", "32.3990",  "F:M - R:M",     
"9 ", urd_t5_aura_2018, no,"0", "01:18.1220", "24.4730", "21.0610", "32.5880",  "F:M - R:M",     
"10 ", urd_t5_aura_2018, no,"0", "01:17.8440", "24.2750", "20.9700", "32.5990",  "F:M - R:M",     
"11 ", urd_t5_aura_2018, no,"0", "01:17.6600", "24.2140", "20.8750", "32.5710",  "F:M - R:M",     
"12 ", urd_t5_aura_2018, no,"0", "01:17.8390", "24.1850", "21.0340", "32.6200",  "F:M - R:M",     
"13 ", urd_t5_aura_2018, no,"0", "01:18.5210", "24.6970", "21.0290", "32.7950",  "F:M - R:M",     
"14 ", urd_t5_aura_2018, no,"0", "01:18.4650", "24.4370", "21.1050", "32.9230",  "F:M - R:M",     
"15 ", urd_t5_aura_2018, no,"0", "01:29.9100", "35.8380", "21.5680", "32.5040",  "F:M - R:M",     
"16 ", urd_t5_aura_2018, no,"0", "01:18.4170", "24.2140", "21.3210", "32.8820",  "F:M - R:M",     
"17 ", urd_t5_aura_2018, no,"0", "01:18.4520", "24.4800", "21.2660", "32.7060",  "F:M - R:M",     
Average,,,"01:19.8053", "25.6901", "21.2727", "32.8425"
Best possible,,, "01:17.4590", "24.1850", "20.8750", "32.3990"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"gunciz"
"1 ", urd_t5_aura_2018, no,"0", "01:29.3750", "32.6210", "22.8110", "33.9430",  "F:M - R:M",     
"2 ", urd_t5_aura_2018, no,"0", "01:20.0300", "24.3380", "22.0240", "33.6680",  "F:M - R:M",     
"3 ", urd_t5_aura_2018, no,"0", "01:17.8440", "24.1940", "21.1780", "32.4720",  "F:M - R:M",     
"4 ", urd_t5_aura_2018, no,"0", "01:19.9290", "24.1020", "20.9690", "34.8580",  "F:M - R:M",     
"5 ", urd_t5_aura_2018, no,"0", "01:18.1560", "24.4170", "21.3520", "32.3870",  "F:M - R:M",     
"6 ", urd_t5_aura_2018, no,"0", "01:19.2540", "25.2260", "21.3580", "32.6700",  "F:M - R:M",     
"7 ", urd_t5_aura_2018, no,"0", "01:18.3000", "24.9570", "21.1860", "32.1570",  "F:M - R:M",     
"8 ", urd_t5_aura_2018, no,"0", "01:17.4090", "24.2770", "21.0240", "32.1080",  "F:M - R:M",     
"9 ", urd_t5_aura_2018, no,"0", "01:17.8220", "24.1560", "21.0730", "32.5930",  "F:M - R:M",     
"10 ", urd_t5_aura_2018, no,"0", "01:17.3670", "23.9920", "21.1180", "32.2570",  "F:M - R:M",     
"11 ", urd_t5_aura_2018, no,"0", "01:17.8760", "24.0700", "21.3160", "32.4900",  "F:M - R:M",     
"12 ", urd_t5_aura_2018, no,"0", "01:17.8300", "24.1630", "21.4430", "32.2240",  "F:M - R:M",     
"13 ", urd_t5_aura_2018, no,"0", "01:40.9940", "46.4720", "21.6810", "32.8410",  "F:M - R:M",     
"14 ", urd_t5_aura_2018, no,"0", "01:17.5960", "24.1180", "21.1950", "32.2830",  "F:M - R:M",     
"15 ", urd_t5_aura_2018, no,"0", "01:18.3680", "24.5840", "21.3310", "32.4530",  "F:M - R:M",     
"16 ", urd_t5_aura_2018, no,"0", "01:17.9690", "24.2220", "21.5010", "32.2460",  "F:M - R:M",     
"17 ", urd_t5_aura_2018, no,"0", "01:17.7490", "24.0600", "21.1310", "32.5580",  "F:M - R:M",     
Average,,,"01:20.2275", "26.1158", "21.3936", "32.7181"
Best possible,,, "01:17.0690", "23.9920", "20.9690", "32.1080"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NihonTiger"
"1 ", urd_t5_bayro_2018, no,"0", "01:32.2640", "35.1140", "22.9780", "34.1720",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:20.2650", "24.7710", "21.6080", "33.8860",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:20.2390", "25.1280", "21.6670", "33.4440",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:19.6060", "24.5310", "21.9100", "33.1650",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:19.5970", "24.8820", "21.6090", "33.1060",  "F:M - R:M",     
